max_gradient,l2,epoch_accuracy,epoch_loss,epoch_loss
1.0,1e-10,0.34706054627895355,2.254786729812622,2.213133692741394
0.1,0.0001,0.3150976598262787,2.877342700958252,2.8221887350082397
0.1,1e-08,0.34788085520267487,2.259958863258362,2.214240074157715
0.1,1e-05,0.3400585949420929,2.5796689987182617,2.5311359167099
1.0,1e-09,0.34882813692092896,2.249078392982483,2.206809639930725
1.0,1e-05,0.34269531071186066,2.5563547611236572,2.5104339122772217
1.0,1e-09,0.3453710973262787,2.2820342779159546,2.2297754287719727
1.0,1e-09,0.34489257633686066,2.2647510766983032,2.2280900478363037
1.0,1e-09,0.34638671576976776,2.2769534587860107,2.2219011783599854
1.0,1e-09,0.3458886742591858,2.264266610145569,2.2249799966812134
1.0,1e-09,0.34474608302116394,2.2844685316085815,2.228970527648926
1.0,1e-09,0.3492773473262787,2.254472851753235,2.204492449760437
1.0,1e-09,0.34739257395267487,2.269834876060486,2.2181254625320435
1.0,1e-09,0.34828124940395355,2.2725800275802612,2.211972951889038
1.0,1e-09,0.34541991353034973,2.2800153493881226,2.2286347150802612
1.0,1e-09,0.34886717796325684,2.2673380374908447,2.2085344791412354
1.0,1e-09,0.3488183617591858,2.252906322479248,2.2074145078659058
0.1,1e-08,0.34282226860523224,2.287388324737549,2.23734974861145
1.0,1e-09,0.2835937440395355,2.640902042388916,2.5986690521240234
