lr_max_decay_factor,lr,epoch_accuracy,epoch_accuracy,epoch_loss
0.1,0.005,0.2692578136920929,0.27933594584465027,2.6775882244110107
0.1,0.005,0.2686718702316284,0.27515625953674316,2.6633057594299316
0.1,0.005,0.2686718702316284,0.27519530057907104,2.678558111190796
0.1,0.005,0.26765623688697815,0.27906250953674316,2.677056074142456
0.1,0.005,0.267578125,0.27808594703674316,2.67375111579895
0.1,0.005,0.2671875059604645,0.27734375,2.6709964275360107
0.1,0.005,0.26652345061302185,0.2673046886920929,2.6801528930664062
0.1,0.005,0.2658984363079071,0.27644529938697815,2.6675679683685303
0.1,0.005,0.26582032442092896,0.2766796946525574,2.6906135082244873
0.1,0.005,0.26566407084465027,0.27535155415534973,2.6798784732818604
0.1,0.005,0.2655078172683716,0.27851563692092896,2.6821842193603516
0.1,0.005,0.2651953101158142,0.2779296934604645,2.6660568714141846
0.1,0.005,0.2648046910762787,0.2759765684604645,2.679755449295044
0.1,0.005,0.2644921839237213,0.2796093821525574,2.6812567710876465
0.1,0.005,0.2642578184604645,0.27406251430511475,2.668829917907715
0.1,0.005,0.26414063572883606,0.27070313692092896,2.691089153289795
0.1,0.005,0.2639843821525574,0.2703515589237213,2.673173427581787
0.1,0.005,0.26390624046325684,0.27640625834465027,2.6861138343811035
0.1,0.005,0.2638281285762787,0.26953125,2.688163995742798
0.1,0.005,0.26332032680511475,0.27421873807907104,2.695237398147583
0.1,0.005,0.26304686069488525,0.27449217438697815,2.6852550506591797
0.1,0.005,0.26289063692092896,0.2777343690395355,2.694335699081421
0.1,0.005,0.2626953125,0.2721875011920929,2.6938822269439697
0.1,0.005,0.2625390589237213,0.2755078077316284,2.676743745803833
0.1,0.005,0.2624218761920929,0.2788671851158142,2.6880102157592773
0.1,0.005,0.2623046934604645,0.2775000035762787,2.683573007583618
0.1,0.005,0.26222655177116394,0.27769529819488525,2.691908836364746
0.1,0.005,0.2621484398841858,0.27437499165534973,2.6832754611968994
0.1,0.005,0.26164063811302185,0.27726563811302185,2.694650173187256
0.1,0.005,0.26136720180511475,0.2694140672683716,2.6915206909179688
0.1,0.005,0.2612890601158142,0.2649218738079071,2.696194648742676
0.1,0.005,0.2611718773841858,0.27339842915534973,2.696845054626465
0.1,0.005,0.26082029938697815,0.2685546875,2.698140859603882
0.1,0.005,0.26070311665534973,0.2767968773841858,2.6887946128845215
0.1,0.005,0.2604687511920929,0.2699609398841858,2.700371026992798
0.1,0.01,0.25999999046325684,0.26558592915534973,2.7272984981536865
0.1,0.005,0.25957030057907104,0.2770312428474426,2.6840789318084717
0.1,0.005,0.2584765553474426,0.27195313572883606,2.713456630706787
0.1,0.005,0.2568359375,0.2706640660762787,2.707634687423706
0.5,0.005,0.25257813930511475,0.26722657680511475,2.742750883102417
0.75,0.005,0.24960938096046448,0.2616015672683716,2.7991626262664795
0.9,0.005,0.2485937476158142,0.2601953148841858,2.807194471359253
0.9,0.01,0.24730469286441803,0.2544921934604645,2.886892318725586
0.75,0.001,0.2456640601158142,0.2554296851158142,2.7924466133117676
0.1,0.005,0.2389843761920929,0.2616015672683716,2.8259735107421875
0.9,0.0005,0.2317187488079071,0.24351562559604645,2.8884952068328857
0.1,0.1,0.22886718809604645,0.2361718714237213,3.1842241287231445
0.25,0.1,0.2101171910762787,0.2191796898841858,3.3806755542755127
0.9,0.1,0.17542968690395355,0.1953125,4.014743804931641
0.25,0.0001,0.1323828101158142,0.13535156846046448,4.1376729011535645
